
         designation          ra         dec  w1mpro  w2mpro  w3mpro  w4mpro           dist       angle
   J143340.73+084102.9  218.4197147    8.6841552   15.627   15.131   11.381    8.894     1589.625441   105.102873 
   J143250.23+082447.9  218.2093200    8.4133211   12.325   12.196   12.025    9.392     1596.964717   150.493309 
   J143345.02+084805.3  218.4375843    8.8014827   13.886   13.654   10.542    8.853     1597.829179    89.703241 
   J143319.72+090509.6  218.3321716    9.0860113   12.625   12.561    8.867    6.902     1599.470616    49.809525 
   J143120.65+091304.6  217.8360567    9.2179665   15.621   15.527   11.276    8.821     1601.143157   340.230289 
   J143047.90+082729.4  217.6996119    8.4581761   15.484   15.507   11.277    9.128     1601.991027   219.944427 
   J143334.22+085945.5  218.3926108    8.9959782   14.583   14.449   10.860    8.566     1602.115086    63.762553 
   J143334.69+083603.5  218.3945711    8.6009769   14.855   14.440   11.140    8.782     1612.156818   116.277210 
   J143019.16+083618.4  217.5798637    8.6051362   16.304   15.852   11.890    8.770     1613.534415   244.338678 
   J143322.49+083109.0  218.3437286    8.5191696   17.288   16.819   12.839    9.451     1617.644656   128.563773 
   J143234.44+082232.5  218.1435106    8.3757190   16.928   16.200   12.321    9.408     1622.208446   160.097480 
   J143329.95+090227.1  218.3747920    9.0408629   14.696   14.382   12.906    9.074     1625.765087    57.655387 
